k,m,n,native_us,native_path,hipblaslt_heuristic_us,hipblaslt_all_best_us,heuristic_ratio,all_ratio
10240,5120,1,29.493,mmvq:native:v1,268.78,71.12,9.113,2.411
10240,5120,2,31.92,mmvq:native:v1,261.92,89.08,8.206,2.791
10240,5120,4,49.001,mmvq:native:v1,260.26,90.04,5.311,1.838
10240,5120,5,53.401,mmvq:native:v1,265.26,89.28,4.967,1.672
256,256,10,7.351,blas:native:v1,11.82,6.1,1.608,0.83
256,256,12,7.364,blas:native:v1,11.7,6.08,1.589,0.826
256,256,2,3.84,mmvf:native:v1,11.7,6.66,3.047,1.734
256,256,24,18.02,blas:native:v1,11.54,6.58,0.64,0.365
256,256,4,8.793,mmvf:native:v1,11.76,6.1,1.337,0.694
256,256,48,7.57,blas:native:v1,11.22,5.88,1.482,0.777
256,256,60,8.76,blas:native:v1,11.7,6.08,1.336,0.694
256,256,8,5.392,mmvf:native:v1,11.68,6.14,2.166,1.139
3072,5120,1,18.4,mmvq:native:v1,155.22,22.56,8.436,1.226
3072,5120,2,16.167,mmvq:native:v1,157.78,23.28,9.759,1.44
3072,5120,4,21.4,mmvq:native:v1,159.42,23.6,7.45,1.103
3072,5120,5,24.02,mmvq:native:v1,156.94,22.92,6.534,0.954
5120,124160,1,810.802,mmvq:native:v1,1742.56,1439.86,2.149,1.776
5120,124160,4,814.203,mmvq:native:v1,1752.26,1444.78,2.152,1.774
5120,124160,5,825.483,mmvq:native:v1,1753.12,1446.24,2.124,1.752
5120,24,1,7.725,mmvq:native:v1,78.54,11.78,10.167,1.525
5120,24,2,9.473,mmvq:native:v1,25.76,11.84,2.719,1.25
5120,24,4,10.047,mmvq:native:v1,25.3,11.8,2.518,1.174
5120,24,5,10.293,mmvq:native:v1,26.48,11.86,2.573,1.152
5120,3072,1,24.5,mmvq:native:v1,176.04,22.56,7.185,0.921
5120,3072,2,18.1,mmvq:native:v1,180.22,22.04,9.957,1.218
5120,3072,4,22.08,mmvq:native:v1,182.08,22.62,8.246,1.024
5120,3072,5,24.7,mmvq:native:v1,181.52,23.14,7.349,0.937
5120,5120,1,25.501,mmvq:native:v1,218.54,33.6,8.57,1.318
5120,5120,2,22.013,mmvq:native:v1,228.86,33.62,10.397,1.527
5120,5120,4,29.42,mmvq:native:v1,219.22,34.1,7.451,1.159
5120,5120,5,34.34,mmvq:native:v1,224.26,33.88,6.531,0.987
5120,512,1,8.625,mmvq:native:v1,39.88,11.7,4.624,1.357
5120,512,2,9.58,mmvq:native:v1,39.8,11.92,4.154,1.244
5120,512,4,10.467,mmvq:native:v1,40.5,11.88,3.869,1.135
5120,512,5,11.013,mmvq:native:v1,40.94,12.72,3.717,1.155
5120,6144,1,23.74,mmvq:native:v1,207.48,34.48,8.74,1.452
5120,6144,2,26.62,mmvq:native:v1,190.28,34.14,7.148,1.282
5120,6144,4,34.173,mmvq:native:v1,197.42,34.38,5.777,1.006
5120,6144,5,38.72,mmvq:native:v1,207.14,34.38,5.35,0.888
5120,8704,1,50.6,mmvq:native:v1,191.34,48.84,3.781,0.965
5120,8704,2,31.18,mmvq:native:v1,181.6,48.1,5.824,1.543
5120,8704,4,42.587,mmvq:native:v1,198.52,50.66,4.662,1.19
5120,8704,5,50.82,mmvq:native:v1,200.52,49.0,3.946,0.964
64,64,16,11.024,blas:native:v1,11.7,5.58,1.061,0.506
64,64,192,4.989,blas:native:v1,10.24,5.26,2.053,1.054
64,64,240,4.389,blas:native:v1,10.7,5.3,2.438,1.208
64,64,32,5.945,blas:native:v1,10.34,5.54,1.739,0.932
64,64,40,6.18,blas:native:v1,10.54,5.48,1.706,0.887
64,64,48,5.96,blas:native:v1,10.2,5.98,1.711,1.003
64,64,8,3.673,mmvf:native:v1,10.96,6.12,2.984,1.666
64,64,96,10.9,blas:native:v1,9.76,5.3,0.895,0.486
8704,5120,1,27.987,mmvq:native:v1,264.12,50.82,9.437,1.816
8704,5120,2,28.813,mmvq:native:v1,241.38,50.78,8.377,1.762
8704,5120,4,42.92,mmvq:native:v1,261.14,50.62,6.084,1.179
8704,5120,5,50.281,mmvq:native:v1,274.3,54.32,5.455,1.08
